rank,name,href,code,nowPrice,totalPrice,volume,per,roe
2,SK하이닉스,/item/main.nhn?code=000660,000660,"82,900","603,514","1,560,780",38.72,4.25
3,삼성바이오로직스,/item/main.nhn?code=207940,207940,"743,000","491,606","144,567",176.82,4.77
4,NAVER,/item/main.nhn?code=035420,035420,"276,000","453,367","920,470",71.26,10.56
5,셀트리온,/item/main.nhn?code=068270,068270,"328,000","442,601","1,223,675",130.47,11.19
7,LG화학,/item/main.nhn?code=051910,051910,"516,000","364,256","537,472",288.59,1.84
9,삼성SDI,/item/main.nhn?code=006400,006400,"383,500","263,712","356,255",90.94,2.94
11,LG생활건강,/item/main.nhn?code=051900,051900,"1,345,000","210,065","22,367",30.35,20.32
14,엔씨소프트,/item/main.nhn?code=036570,036570,"880,000","193,195","84,601",40.29,14.72
15,SK텔레콤,/item/main.nhn?code=017670,017670,"217,000","175,218","201,588",21.36,3.92
16,SK,/item/main.nhn?code=034730,034730,"234,000","164,643","258,690",239.02,4.31
22,삼성에스디에스,/item/main.nhn?code=018260,018260,"180,500","139,667","100,596",24.65,11.76
28,넷마블,/item/main.nhn?code=251270,251270,"126,500","108,535","376,277",63.57,3.54
30,아모레퍼시픽,/item/main.nhn?code=090430,090430,"165,000","96,456","115,201",60.91,5.36
